text,overall,sentiment,tweet_length,tokens,clean_text
 Enjoying a beautiful day at the park!              ,1,Positive,52,"['enjoying', 'a', 'beautiful', 'day', 'at', 'the', 'park']", enjoying a beautiful day at the park              
 Traffic was terrible this morning.                 ,0,Negative,52,"['traffic', 'was', 'terrible', 'this', 'morning']", traffic was terrible this morning                 
 Just finished an amazing workout! 💪               ,1,Positive,51,"['just', 'finished', 'an', 'amazing', 'workout']", just finished an amazing workout                
 Excited about the upcoming weekend getaway!        ,1,Positive,52,"['excited', 'about', 'the', 'upcoming', 'weekend', 'getaway']", excited about the upcoming weekend getaway        
 Feeling grateful for the little things in life.    ,1,Positive,52,"['feeling', 'grateful', 'for', 'the', 'little', 'things', 'in', 'life']", feeling grateful for the little things in life    
 Rainy days call for cozy blankets and hot cocoa.   ,1,Positive,52,"['rainy', 'days', 'call', 'for', 'cozy', 'blankets', 'and', 'hot', 'cocoa']", rainy days call for cozy blankets and hot cocoa   
 The new movie release is a must-watch!             ,1,Positive,52,"['the', 'new', 'movie', 'release', 'is', 'a', 'mustwatch']", the new movie release is a mustwatch             
 Political discussions heating up on the timeline.  ,0,Negative,52,"['political', 'discussions', 'heating', 'up', 'on', 'the', 'timeline']", political discussions heating up on the timeline  
 Just published a new blog post. Check it out!      ,1,Positive,52,"['just', 'published', 'a', 'new', 'blog', 'post', 'check', 'it', 'out']", just published a new blog post check it out      
 Feeling a bit under the weather today.             ,0,Negative,52,"['feeling', 'a', 'bit', 'under', 'the', 'weather', 'today']", feeling a bit under the weather today             
 Exploring the city's hidden gems.                  ,1,Positive,52,"['exploring', 'the', 'citys', 'hidden', 'gems']", exploring the citys hidden gems                  
" New year, new fitness goals! 💪                    ",1,Positive,51,"['new', 'year', 'new', 'fitness', 'goals']", new year new fitness goals                     
 Reflecting on the past and looking ahead.          ,1,Positive,52,"['reflecting', 'on', 'the', 'past', 'and', 'looking', 'ahead']", reflecting on the past and looking ahead          
 Just adopted a cute furry friend! 🐾              ,1,Positive,50,"['just', 'adopted', 'a', 'cute', 'furry', 'friend']", just adopted a cute furry friend               
 Late-night gaming session with friends.            ,1,Positive,52,"['latenight', 'gaming', 'session', 'with', 'friends']", latenight gaming session with friends            
 Winter blues got me feeling low.                   ,0,Negative,52,"['winter', 'blues', 'got', 'me', 'feeling', 'low']", winter blues got me feeling low                   
 Sipping coffee and enjoying a good book.           ,1,Positive,52,"['sipping', 'coffee', 'and', 'enjoying', 'a', 'good', 'book']", sipping coffee and enjoying a good book           
 Exploring the world of virtual reality.            ,1,Positive,52,"['exploring', 'the', 'world', 'of', 'virtual', 'reality']", exploring the world of virtual reality            
 Productive day ticking off my to-do list.          ,1,Positive,52,"['productive', 'day', 'ticking', 'off', 'my', 'todo', 'list']", productive day ticking off my todo list          
 Just finished a challenging workout routine.       ,1,Positive,52,"['just', 'finished', 'a', 'challenging', 'workout', 'routine']", just finished a challenging workout routine       
 Celebrating a milestone at work! 🎉               ,1,Positive,50,"['celebrating', 'a', 'milestone', 'at', 'work']", celebrating a milestone at work                
 Sunday brunch with friends.                        ,1,Positive,52,"['sunday', 'brunch', 'with', 'friends']", sunday brunch with friends                        
 Learning a new language for personal growth.       ,1,Positive,52,"['learning', 'a', 'new', 'language', 'for', 'personal', 'growth']", learning a new language for personal growth       
 Quiet evening with a good book.                    ,1,Positive,52,"['quiet', 'evening', 'with', 'a', 'good', 'book']", quiet evening with a good book                    
 Reflecting on the importance of mental health.     ,1,Positive,52,"['reflecting', 'on', 'the', 'importance', 'of', 'mental', 'health']", reflecting on the importance of mental health     
 New painting in progress! 🎨                       ,1,Positive,51,"['new', 'painting', 'in', 'progress']", new painting in progress                        
 Weekend road trip to explore scenic views.         ,1,Positive,52,"['weekend', 'road', 'trip', 'to', 'explore', 'scenic', 'views']", weekend road trip to explore scenic views         
 Enjoying a cup of tea and watching the sunset.     ,1,Positive,52,"['enjoying', 'a', 'cup', 'of', 'tea', 'and', 'watching', 'the', 'sunset']", enjoying a cup of tea and watching the sunset     
 Coding a new project with enthusiasm.              ,1,Positive,52,"['coding', 'a', 'new', 'project', 'with', 'enthusiasm']", coding a new project with enthusiasm              
 Feeling inspired after attending a workshop.       ,1,Positive,52,"['feeling', 'inspired', 'after', 'attending', 'a', 'workshop']", feeling inspired after attending a workshop       
 Winter sports day at the local park.               ,1,Positive,52,"['winter', 'sports', 'day', 'at', 'the', 'local', 'park']", winter sports day at the local park               
 Quality time with family this weekend.             ,1,Positive,52,"['quality', 'time', 'with', 'family', 'this', 'weekend']", quality time with family this weekend             
 Attending a live music concert tonight.            ,1,Positive,52,"['attending', 'a', 'live', 'music', 'concert', 'tonight']", attending a live music concert tonight            
 Practicing mindfulness with meditation.            ,1,Positive,52,"['practicing', 'mindfulness', 'with', 'meditation']", practicing mindfulness with meditation            
 Trying out a new dessert recipe.                   ,1,Positive,52,"['trying', 'out', 'a', 'new', 'dessert', 'recipe']", trying out a new dessert recipe                   
 Excited about the upcoming gaming tournament.      ,1,Positive,52,"['excited', 'about', 'the', 'upcoming', 'gaming', 'tournament']", excited about the upcoming gaming tournament      
 Planning a garden makeover for spring.             ,1,Positive,52,"['planning', 'a', 'garden', 'makeover', 'for', 'spring']", planning a garden makeover for spring             
 Celebrating a friend's birthday tonight! 🎂       ,1,Positive,50,"['celebrating', 'a', 'friends', 'birthday', 'tonight']", celebrating a friends birthday tonight        
 Feeling accomplished after a productive day.       ,1,Positive,52,"['feeling', 'accomplished', 'after', 'a', 'productive', 'day']", feeling accomplished after a productive day       
 A cozy evening with a good movie.                 ,1,Positive,51,"['a', 'cozy', 'evening', 'with', 'a', 'good', 'movie']", a cozy evening with a good movie                 
 Exploring local art galleries this weekend.        ,1,Positive,52,"['exploring', 'local', 'art', 'galleries', 'this', 'weekend']", exploring local art galleries this weekend        
 New book release from my favorite author!          ,1,Positive,52,"['new', 'book', 'release', 'from', 'my', 'favorite', 'author']", new book release from my favorite author          
 Attending a virtual reality meetup.                ,1,Positive,52,"['attending', 'a', 'virtual', 'reality', 'meetup']", attending a virtual reality meetup                
 Reflecting on the beauty of nature.                ,1,Positive,52,"['reflecting', 'on', 'the', 'beauty', 'of', 'nature']", reflecting on the beauty of nature                
 Cooking a special dinner for loved ones.           ,1,Positive,52,"['cooking', 'a', 'special', 'dinner', 'for', 'loved', 'ones']", cooking a special dinner for loved ones           
 Feeling optimistic about the week ahead.           ,1,Positive,52,"['feeling', 'optimistic', 'about', 'the', 'week', 'ahead']", feeling optimistic about the week ahead           
 Starting a new fitness challenge tomorrow! 💪     ,1,Positive,50,"['starting', 'a', 'new', 'fitness', 'challenge', 'tomorrow']", starting a new fitness challenge tomorrow      
 Sunday bike ride through scenic trails.           ,1,Positive,51,"['sunday', 'bike', 'ride', 'through', 'scenic', 'trails']", sunday bike ride through scenic trails           
 Can't believe the injustice happening in our society.,0,Negative,54,"['cant', 'believe', 'the', 'injustice', 'happening', 'in', 'our', 'society']", cant believe the injustice happening in our society
 Feeling a sense of fear after watching a thriller movie. ,0,Negative,58,"['feeling', 'a', 'sense', 'of', 'fear', 'after', 'watching', 'a', 'thriller', 'movie']", feeling a sense of fear after watching a thriller movie 
 Heartbroken after hearing the news about a natural disaster. ,0,Negative,62,"['heartbroken', 'after', 'hearing', 'the', 'news', 'about', 'a', 'natural', 'disaster']", heartbroken after hearing the news about a natural disaster 
 The state of the world's environment is just disgusting. ,0,Negative,58,"['the', 'state', 'of', 'the', 'worlds', 'environment', 'is', 'just', 'disgusting']", the state of the worlds environment is just disgusting 
 Pure happiness: celebrating a loved one's achievement! ,1,Positive,56,"['pure', 'happiness', 'celebrating', 'a', 'loved', 'ones', 'achievement']", pure happiness celebrating a loved ones achievement 
 Laughter is the best medicine—enjoying a comedy show. ,1,Positive,55,"['laughter', 'is', 'the', 'best', 'medicineenjoying', 'a', 'comedy', 'show']", laughter is the best medicineenjoying a comedy show 
 Sharing love and positive vibes with everyone! ❤️      ,1,Positive,56,"['sharing', 'love', 'and', 'positive', 'vibes', 'with', 'everyone']", sharing love and positive vibes with everyone       
 Enjoying a quiet evening with a book and some tea.      ,1,Positive,57,"['enjoying', 'a', 'quiet', 'evening', 'with', 'a', 'book', 'and', 'some', 'tea']", enjoying a quiet evening with a book and some tea      
 Admiring the beauty of nature during a peaceful hike.   ,1,Positive,57,"['admiring', 'the', 'beauty', 'of', 'nature', 'during', 'a', 'peaceful', 'hike']", admiring the beauty of nature during a peaceful hike   
 Sending affectionate vibes to all my followers!          ,1,Positive,58,"['sending', 'affectionate', 'vibes', 'to', 'all', 'my', 'followers']", sending affectionate vibes to all my followers          
 Experiencing awe at the breathtaking sunset.            ,1,Positive,57,"['experiencing', 'awe', 'at', 'the', 'breathtaking', 'sunset']", experiencing awe at the breathtaking sunset            
 Disappointed with the service at a local restaurant.    ,0,Negative,57,"['disappointed', 'with', 'the', 'service', 'at', 'a', 'local', 'restaurant']", disappointed with the service at a local restaurant    
