tweet,brand,sentiment,clean_text,overall
".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Negative,i have a g iphone after hrs tweeting at riseaustin it was dead i need to upgrade plugin stations at sxsw,0
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive,know about awesome ipadiphone app that youll likely appreciate for its design also theyre giving free ts at sxsw,1
@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive,can not wait for ipad also they should sale them down at sxsw,1
@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Negative,i hope this years festival isnt as crashy as this years iphone app sxsw,0
"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,Positive,great stuff on fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,1
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive,sxsw is just starting ctia is around the corner and googleio is only a hop skip and a jump from there good time to be an android fan,1
Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,Positive,beautifully smart and simple idea rt wrote about our hollergram ipad app for sxsw,1
Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,Positive,counting down the days to sxsw plus strong canadian dollar means stock up on apple gear,1
Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,Positive,excited to meet the at sxsw so i can show them my sprint galaxy s still running android fail,1
Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive,find amp start impromptu parties at sxsw with i cant wait til the android app comes out,1
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive,foursquare ups the game just in time for sxsw still prefer by far best looking android app to date,1
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive,gotta love this sxsw google calendar featuring top parties show cases to check out rt via gt,1
